judge,pre_question,pre_rhetorical_question,pre_gif,pre_thoughts,pre_assess,pre_doubt,pre_negation,pre_pauses,pre_causation,pre_falsity,pre_conflict,aft_question,aft_rhetorical_question,aft_gif,aft_thoughts,aft_assess,aft_doubt,aft_negation,aft_pauses,aft_causation,aft_falsity,aft_conflict,class
Null,what,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,e
Null,Who,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Null,Exist,Null,Null,Exist,Null,Null,Null,what,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,e
Null,when,Exist,Null,Null,Null,Null,More,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Null,More,Null,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Exist,Null,e
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Who,Null,Null,Null,Null,Exist,Null,Null,Null,Exist,Null,e
Exist,what,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,Exist,Null,Null,Null,e
Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,e
Null,who,Null,Null,Exist,Null,Null,Exist,Null,Exist,Null,Null,what,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,e
Null,What,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Exist,Null,Null,e
Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,What,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Where,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,e
Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,e
Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,why,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,e
Exist,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,What,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,Null,e
Exist,Null,Null,Null,Exist,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Exist,Exist,Null,Null,Null,Null,Null,Null,e
